name,diet,period,lived_in,type,bipedal,length,weight,taxonomy,named_by,species,link,Story,dentition,taxonomy_suborder,taxonomy_family
tarbosaurus,carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,large theropod,Yes,10.0m,5000kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Maleev (1955),bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html,Tarbosaurus is very like Tyrannosaurus.,,Saurischia,Tyrannosaurinae
herrerasaurus,carnivorous,Late Triassic 228 million years ago,Argentina,small theropod,Yes,3.0m,350kg,Dinosauria Saurischia Theropoda Herrerasauridae,Reig (1963),ischigualastensis,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html,,,Saurischia,Herrerasauridae
carcharodontosaurus,carnivorous,Late Cretaceous 98-94 million years ago,North Africa,large theropod,Yes,15.0m,6200kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stromer (1931),saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html,"Carcharodontosaurus was a very large meat-eating dinosaur.
It is named after Carcharodon, the scientific name for several types of shark - of which the great white shark is the only living example.
Carcharodontosaurus teeth look a lot like shark teeth. Like Tyrannosaurus, it had about 60 of them.",,Saurischia,Carcharodontosauridae
triceratops,herbivorous,Late Cretaceous 68-66 million years ago,USA,ceratopsian,No,9.0m,5500kg,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1889),horridus,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html,"With its 3 horns, a parrot-like beak and a large frill that could reach nearly 1 metre (3 feet) across, the Triceratops skull is one of the largest and most striking of any land animal.
The horns could have been used to fend off attacks from Tyrannosaurus. A partial Triceratops fossil collected in 1997 has a horn that was bitten off, with bite marks that match Tyrannosaurus. The fossil shows that the horn healed after being bitten, so at least some Triceratops survived these encounters.
Puncture marks on fossil frills show that male Triceratops also used their horns to fight each other, probably to impress females.",horny beak and shearing teeth,Ornithischia,Chasmosaurinae
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,No,30.0m,50000kg,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,Brachiosaurus held its head very high. It is likely to have eaten the leaves on tall tree-like plants.,,Saurischia,Brachiosauridae
stegosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,armoured dinosaur,No,9.0m,3000kg,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Marsh (1877),armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html,"A large, slow moving plant-eater, Stegosaurus would have defended itself from predators like Allosaurus and Ceratosaurus with its powerful spiked tail.
The bony plates along its back were embedded in the skin of the animal, not attached to its skeleton, which is why in most fossil finds the plates are separated from the body.",,Ornithischia,Stegosaurinae
ankylosaurus,herbivorous,Late Cretaceous 74-67 million years ago,USA,armoured dinosaur,No,7.0m,8000kg,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,"Ankylosaurus lived during the Late Cretaceous Period in what is now North America. This armoured dinosaur had bony plates covering its body and a heavy club at the end of its tail.
Though it's the most famous member of the ankylosaur group, it's not the best understood. Scientists still haven't found an entire Ankylosaurus skeleton. Some other types of ankylosaurs, such as Zuul, are known from many more bones.",grinding teeth with a beak at the front,Ornithischia,Ankylosauridae
diplodocus,herbivorous,Late Jurassic 155-145 million years ago,USA,sauropod,No,26.0m,15000kg,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1878),longus,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html,"Diplodocus had a long neck that it would have used to reach high and low vegetation, and to drink water. There’s been some debate over how it would have held such a long neck.
Scientists now think that ligaments running from the hip to the back of the neck would have allowed Diplodocus to hold its neck in a horizontal position without using muscles. The back bones are split down the middle, creating a space that could have held the ligaments.",in rows like a comb,Saurischia,Diplodocidae
apatosaurus,herbivorous,Late Jurassic 154-145 million years ago,USA,sauropod,No,21.0m,218000kg,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1877),ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,"Apatosaurus was a large sauropod dinosaur. It lived around 150 million years ago in the Late Jurassic Period, in an area that is now North America.
Like all sauropods, Apatosaurus ate plants.
Young Apatosaurus individuals grew up quickly. They took around 10 years to reach full adult size.",,Saurischia,Diplodocidae
iguanodon,herbivorous,Early Cretaceous 140-110 million years ago,United Kingdom,euornithopod,No,10.0m,4000kg,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Boulenger and van Beneden (1881),bernissartensis,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html,"Iguanodon could probably walk on all fours or on two legs. It had a large thumb spike on the end of its hand, probably to fend-off predators, and the structure of the muscles inside its head suggest it had a very long tongue.",chewing cheek teeth and horny beak,Ornithischia,Iguanodontoidea
parasaurolophus,herbivorous,Late Cretaceous 76-74 million years ago,USA,euornithopod,No,11.0m,5000kg,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1922),walkeri,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html,"Parasaurolophus was a duck-billed dinosaur with a long, distinctive head crest. It lived in what is now North America during the Late Cretaceous Period.
Over the years, experts have gone back and forth as to whether Parasaurolophus walked on two legs or four. We now think it did both. It probably spent most of its life walking on all fours, but it could raise itself onto its back legs.
Fossilised skin impressions show that Parasaurolophus had scaly, pebbled skin.
A dinosaur found in China called Charonosaurus looked very similar. Some scientists think it could be the same animal as Parasaurolophus.",beak and toothed jaws,Ornithischia,Lambeosaurinae
sauropelta,herbivorous,Early Cretaceous 121-94 million years ago,USA,armoured dinosaur,No,6.5m,5000kg,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Ostrom (1970),edwardsorum,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html,Sauropelta had large shoulder spines.,,Ornithischia,Nodosauridae
kentrosaurus,herbivorous,Late Jurassic 155-150 million years ago,Tanzania,armoured dinosaur,No,5.0m,1500kg,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Hennig (1915),aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html,,,Ornithischia,Stegosaurinae
camarasaurus,herbivorous,Late Jurassic 150-140 million years ago,USA,sauropod,No,23.0m,20000kg,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Cope (1877),supremus,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html,Camarasaurus used rows of close-set teeth to strip the leaves from trees and shrubs. Food was ground by stones in the stomach.,"chisel-like, sharp, snipping teeth",Saurischia,Camarasauridae
edmontosaurus,herbivorous,Late Cretaceous 76-65 million years ago,Canada,euornithopod,No,13.0m,3400kg,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html,"Hard conifer needles, twigs and seeeds have been found in Edmontosaurus stomachs. Mummified specimens have some preserved skin, so we know its texture (but not the colour).","horny beak and 1,000 grinding cheek teeth",Ornithischia,Hadrosaurinae
corythosaurus,herbivorous,Late Cretaceous 76-74 million years ago,USA,euornithopod,No,10.0m,4000kg,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1914),casuarius,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html,,,Ornithischia,Lambeosaurinae
styracosaurus,herbivorous,Late Cretaceous 76-70 million years ago,USA,ceratopsian,No,5.5m,2700kg,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Lambe (1913),albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html,"Styracosaurus was a plant-eating dinosaur with a striking arrangement of long spikes around its neck frill and a massive horn on its nose.
We think these spikes may have been used to defend against predators because it probably couldn't outrun them. This dinosaur walked on four legs and was almost certainly very slow.
Experts think Styracosaurus - like many other horned dinosaurs - was probably a herd animal. The discovery of several Styracosaurus specimens together in one bone bed suggests they lived and died together.",beak and shearing teeth,Ornithischia,Centrosaurinae
plateosaurus,herbivorous,Late Triassic 210 million years ago,Switzerland,sauropod,Yes,7.0m,4000kg,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Meyer (1837),engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html,"Plateosaurus had 5-fingered hands and a large thumb claw, which may have been for defence or for collecting food. Finds in Germany suggest that this dinosaur may have lived in herds.",grinding teeth with a horny beak at the front,Saurischia,Plateosauridae
gallimimus,carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,large theropod,Yes,6.0m,200kg,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osm√É¬≥lska Roniewicz and Barsbold (1972),bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html,"Gallimimus was a fast-moving dinosaur that lived in prehistoric Asia.
This dinosaur and its relatives are sometimes called ostrich dinosaurs due to their appearance. Gallimimus was one of the biggest, growing to be twice as tall as an adult human.
The name Gallimimus means 'chicken mimic' and comes from the fact its neck bones look like those of chickens.
Scientists are confident Gallimimus had feathers. There's no direct evidence, but Ornithomimus and other closely related dinosaurs had them.",,Saurischia,Ornithomimidae
maiasaura,herbivorous,Late Cretaceous 80-75 million years ago,USA,euornithopod,Yes,9.0m,490kg,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Horner and Makela (1979),peeblesorum,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html,,horny beak and chewing teeth,Ornithischia,Hadrosaurinae
lambeosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,euornithopod,Yes,9.0m,2500kg,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1923),lambei,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html,,,Ornithischia,Lambeosaurinae
pachycephalosaurus,herbivorous,Late Cretaceous 76-65 million years ago,USA,euornithopod,Yes,8.0m,450kg,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Brown and Schlaikjer (1943),wyomingensis,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html,"Pachycephalosaurus was an unusual-looking dinosaur. It stood on two legs, had a beak for cropping plants and had a large bony dome on its head surrounded by spikes and bumps.
Some scientists think that the animal used its hard dome in head-butting contests, similar to the way modern-day rams use their horns.
Other experts think that the head dome may have been used for display. Perhaps it had many uses - like the antlers of modern deer, which are used both for fighting and for display.",flat-curved and serrated teeth,Ornithischia,Pachycephalosauridae
psittacosaurus,herbivorous,Early Cretaceous 120-100 million years ago,Russia,ceratopsian,Yes,2.0m,50kg,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,Osborn (1923),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html,,beak,Ornithischia,Psittacosauridae
Archaeopteryx,carnivorous,"Late Jurassic, ",Germany,small theropod,flies,0.5m,1kg,"Dinosauria, Saurischia, Theropoda, Paraves, Archaeopterygidae",Mayer (1861),lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html,"Archaeopteryx was a small, bird-like dinosaur. It lived during the Late Jurassic Period in what is now Europe.
The discovery of the first Archaeopteryx fossil in Germany in 1861 caused a lot of confusion. No birds were known from so far back. Some people even thought it might be an angel.
Since then, multiple fossils of Archaeopteryx have been discovered. Many show clear evidence of long feathers. But we don't know whether Archaeopteryx was fully able to fly or if it could only glide.","many small, cone-shaped teeth","Saurischia,",Archaeopterygidae
Aardonyx,herbivorous,"Early Jurassic,",South Africa,prosauropod,Yes,8.0m,1700kg,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria","Yates, Bonnan, Neveling, Chinsamy and Blackbeard 2010 (2009)","
celestae",https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html,,,"Saurischia,",Anchisauria
ammosaurus,herbivorous,Early Jurassic 195-180 million years ago,USA,sauropod,Yes,5.0m,290kg,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1891),major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,This dinosaur was very similar to Anchisaurus.,,Saurischia,Anchisauridae
archaeoceratops,herbivorous,Early Cretaceous 121-99 million years ago,China,ceratopsian,Yes,1.3m,57kg,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Dong and Azuma (1987),oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,,,Ornithischia,Neoceratopsia
atlascopcosaurus,herbivorous,Early Cretaceous 121-97 million years ago,Australia,euornithopod,Yes,3.0m,125kg,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,,,Ornithischia,Euornithopoda
Agilisaurus,herbivorous,"Late Jurassic, ",China,small ornithischian,Yes,1.5m,21kg,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Peng (1990),,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,Agilisaurus is known from a skull and almost complete skeleton.,,"Ornithischia,",Euornithopoda
camptosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,euornithopod,Yes,5.0m,1000kg,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Marsh (1885),dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html,,beak and grinding teeth,Ornithischia,Ankylopollexia
Dracorez,herbivorous,Late Jurassic 155-145 million years ago,USA,pachycephalosaur,Yes,4.0m,100 kg,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Pachycephalosauridae","Bakker, Sullivan, Porter, Larson and Saulsbury (2006)",hogwartsia,https://www.nhm.ac.uk/discover/dino-directory/dracorex.html,"Dracorex is a pachycephalosaur from the end of the Cretaceous Period which was identified after the discovery of a spectacular skull. The skull lacks the dome characteristic of this group and instead has spikes and frills reminiscent of a mythical dragon. After studying the skull, scientists named the species Dracorex hogwartsia, the 'dragon king of Hogwarts', after the fictional Hogwarts School in the Harry Potter books by JK Rowling. Some scientists think the skull may actually belong to a young Pachycephalosaurus.",,"Ornithischia,",Pachycephalosauridae
Gasparinisaura,herbivorous,Late Cretaceous,Argentina,small ornithopod,Yes,0.8m,13kg,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Coria and Salgado (1996),cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html,,,"Ornithischia,",Euornithopoda
Hypsilophodon,herbivorous,Early Cretaceous,UK,small ornithischian,Yes,2.0m,20kg,"Dinosauria, Ornithischia, Neornithischia",Huxley (1869),foxii,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html,"Hypsilophodon was a small, agile dinosaur that lived in prehistoric England.
Scientists used to think Hypsilophodon spent a lot of time in trees. This came from a misunderstanding of the dinosaur’s toe bones.
We now know Hypsilophodon lived on the ground and was good at running.
Several Hypsilophodon individuals were discovered together at one fossil site, suggesting they lived and died together. Some experts say this dinosaur probably lived in groups, like deer.","turtle-like beak and broad, chisel-like teeth","Ornithischia,",Neornithischia
Edmontosaurrus,herbivorous,Late Cretaceous,Canada,large ornithopod,Yes,13.0m,3400kg,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Lambe (1917),regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html,"Hard conifer needles, twigs and seeeds have been found in Edmontosaurus stomachs. Mummified specimens have some preserved skin, so we know its texture (but not the colour).","horny beak and 1,000 grinding cheek teeth","Ornithischia,",Hadrosaurinae
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
